User;Category (cor);Category (p-value);Subcategory (cor);Subcategory (p-value);Sentiment (cor);Sentiment (p-value)
U57530;-0.082;0.833;-0.234;0.489;0.189;0.879
U47000;-0.445;0.229;-0.156;0.523;0.839;0.367
U59762;0.683;0.043;0.605;0.022;0.982;0.121
U17789;1;0;-0.766;0.003;0.693;0.512
U49199;-0.193;0.6176;-0.076;0.776;0.397;0.739
U39664;0.725;0.102;-0.586;0.035;0.797;0.412
U33210;-0.566;0.143;-0.456;0.184;-0.49;0.6
U71013;0.999;0.0001;-0.073;0.821;0.999;0.0001
U2563;0.768;0.009;-0.410;0.051;0.975;0.141
U47216;0.676;0.0455;-0.475;0.101;-0.5;0.666
U62228;0.688;0.040;-0.457;0.021;0.922;0.252
U32530;0.176;0.649;-0.322;0.260;-0.327;0.787
U51917;0.0466;0.930;-0.746;0.005;0.142;0.908
U20360;0.887;0.007;-0.588;0.012;0.904;0.281
U13604;0.767;0.009;0.764;0.006;0.755;0.454
