N55528	lifestyle	lifestyleroyals	The Brands Queen Elizabeth, Prince Charles, and Prince Philip Swear By	Shop the notebooks, jackets, and more that the royals can't live without.	https://assets.msn.com/labs/mind/AAGH0ET.html	"[{""Label"": ""Prince Philip, Duke of Edinburgh"", ""Type"": ""P"", ""WikidataId"": ""Q80976"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [48], ""SurfaceForms"": [""Prince Philip""]}, {""Label"": ""Charles, Prince of Wales"", ""Type"": ""P"", ""WikidataId"": ""Q43274"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [28], ""SurfaceForms"": [""Prince Charles""]}, {""Label"": ""Elizabeth II"", ""Type"": ""P"", ""WikidataId"": ""Q9682"", ""Confidence"": 0.97, ""OccurrenceOffsets"": [11], ""SurfaceForms"": [""Queen Elizabeth""]}]"	[]
N19639	health	weightloss	50 Worst Habits For Belly Fat	These seemingly harmless habits are holding you back and keeping you from shedding that unwanted belly fat for good.	https://assets.msn.com/labs/mind/AAB19MK.html	"[{""Label"": ""Adipose tissue"", ""Type"": ""C"", ""WikidataId"": ""Q193583"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [20], ""SurfaceForms"": [""Belly Fat""]}]"	"[{""Label"": ""Adipose tissue"", ""Type"": ""C"", ""WikidataId"": ""Q193583"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [97], ""SurfaceForms"": [""belly fat""]}]"
N61837	news	newsworld	The Cost of Trump's Aid Freeze in the Trenches of Ukraine's War	Lt. Ivan Molchanets peeked over a parapet of sand bags at the front line of the war in Ukraine. Next to him was an empty helmet propped up to trick snipers, already perforated with multiple holes.	https://assets.msn.com/labs/mind/AAJgNsz.html	[]	"[{""Label"": ""Ukraine"", ""Type"": ""G"", ""WikidataId"": ""Q212"", ""Confidence"": 0.946, ""OccurrenceOffsets"": [87], ""SurfaceForms"": [""Ukraine""]}]"
N53526	health	voices	I Was An NBA Wife. Here's How It Affected My Mental Health.	I felt like I was a fraud, and being an NBA wife didn't help that. In fact, it nearly destroyed me.	https://assets.msn.com/labs/mind/AACk2N6.html	[]	"[{""Label"": ""National Basketball Association"", ""Type"": ""O"", ""WikidataId"": ""Q155223"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [40], ""SurfaceForms"": [""NBA""]}]"
N38324	health	medical	How to Get Rid of Skin Tags, According to a Dermatologist	They seem harmless, but there's a very good reason you shouldn't ignore them. The post How to Get Rid of Skin Tags, According to a Dermatologist appeared first on Reader's Digest.	https://assets.msn.com/labs/mind/AAAKEkt.html	"[{""Label"": ""Skin tag"", ""Type"": ""C"", ""WikidataId"": ""Q3179593"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [18], ""SurfaceForms"": [""Skin Tags""]}]"	"[{""Label"": ""Skin tag"", ""Type"": ""C"", ""WikidataId"": ""Q3179593"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [105], ""SurfaceForms"": [""Skin Tags""]}, {""Label"": ""Dermatology"", ""Type"": ""C"", ""WikidataId"": ""Q171171"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [131], ""SurfaceForms"": [""Dermatologist""]}, {""Label"": ""Reader's Digest"", ""Type"": ""M"", ""WikidataId"": ""Q371820"", ""Confidence"": 0.999, ""OccurrenceOffsets"": [163], ""SurfaceForms"": [""Reader's Digest""]}]"
N2073	sports	football_nfl	Should NFL be able to fine players for criticizing officiating?	Several fines came down against NFL players for criticizing officiating this week. It's a very bad look for the league.	https://assets.msn.com/labs/mind/AAJ4lap.html	"[{""Label"": ""National Football League"", ""Type"": ""O"", ""WikidataId"": ""Q1215884"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [7], ""SurfaceForms"": [""NFL""]}]"	"[{""Label"": ""National Football League"", ""Type"": ""O"", ""WikidataId"": ""Q1215884"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [32], ""SurfaceForms"": [""NFL""]}]"
N49186	weather	weathertopstories	It's been Orlando's hottest October ever so far, but cooler temperatures on the way	There won't be a chill down to your bones this Halloween in Orlando, unless you count the sweat dripping from your armpits.	https://assets.msn.com/labs/mind/AAJwoxD.html	"[{""Label"": ""Orlando, Florida"", ""Type"": ""G"", ""WikidataId"": ""Q49233"", ""Confidence"": 0.962, ""OccurrenceOffsets"": [10], ""SurfaceForms"": [""Orlando""]}]"	"[{""Label"": ""Orlando, Florida"", ""Type"": ""G"", ""WikidataId"": ""Q49233"", ""Confidence"": 0.962, ""OccurrenceOffsets"": [60], ""SurfaceForms"": [""Orlando""]}]"
N59295	news	newsworld	Chile: Three die in supermarket fire amid protests	Three people have died in a supermarket fire as angry protests in Chile entered their seventh day, the mayor of capital city Santiago said on Sunday.	https://assets.msn.com/labs/mind/AAJ43pw.html	"[{""Label"": ""Chile"", ""Type"": ""G"", ""WikidataId"": ""Q298"", ""Confidence"": 0.988, ""OccurrenceOffsets"": [0], ""SurfaceForms"": [""Chile""]}]"	"[{""Label"": ""Santiago"", ""Type"": ""G"", ""WikidataId"": ""Q2887"", ""Confidence"": 0.995, ""OccurrenceOffsets"": [125], ""SurfaceForms"": [""Santiago""]}, {""Label"": ""Chile"", ""Type"": ""G"", ""WikidataId"": ""Q298"", ""Confidence"": 0.988, ""OccurrenceOffsets"": [66], ""SurfaceForms"": [""Chile""]}]"
N55189	tv	tvnews	'Wheel Of Fortune' Guest Delivers Hilarious, Off The Rails Introduction	"We'd like to solve the puzzle, Pat: Blair Davis' loveless marriage? On Monday, ""Wheel of Fortune"" welcomed as a new contestant trucking business owner Blair Davis, who offered a biting introduction for himself. When host Pat Sajak asked the man from Cardiff, California, about his family, Davis plunged into one of the darkest personal summaries the show has likely ever heard. ""I've been trapped in a loveless marriage for the last 12 years to an..."	https://assets.msn.com/labs/mind/AAIORni.html	[]	"[{""Label"": ""Pat Sajak"", ""Type"": ""P"", ""WikidataId"": ""Q705419"", ""Confidence"": 0.933, ""OccurrenceOffsets"": [31, 221], ""SurfaceForms"": [""Pat"", ""Pat Sajak""]}, {""Label"": ""Wheel of Fortune (American game show)"", ""Type"": ""N"", ""WikidataId"": ""Q3567653"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [80], ""SurfaceForms"": [""Wheel of Fortune""]}, {""Label"": ""Cardiff-by-the-Sea, Encinitas, California"", ""Type"": ""G"", ""WikidataId"": ""Q3400992"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [250], ""SurfaceForms"": [""Cardiff""]}, {""Label"": ""California"", ""Type"": ""G"", ""WikidataId"": ""Q99"", ""Confidence"": 0.946, ""OccurrenceOffsets"": [259], ""SurfaceForms"": [""California""]}]"
N42782	sports	baseball_mlb	Three takeaways from Yankees' ALCS Game 5 victory over the Astros	The Yankees kept hope alive thanks to some impressive starting pitching and a pair of early home runs.	https://assets.msn.com/labs/mind/AAJ1mE9.html	"[{""Label"": ""New York Yankees"", ""Type"": ""O"", ""WikidataId"": ""Q213417"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [21], ""SurfaceForms"": [""Yankees""]}, {""Label"": ""Houston Astros"", ""Type"": ""O"", ""WikidataId"": ""Q848117"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [59], ""SurfaceForms"": [""Astros""]}]"	"[{""Label"": ""New York Yankees"", ""Type"": ""O"", ""WikidataId"": ""Q213417"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [4], ""SurfaceForms"": [""Yankees""]}]"
N34694	tv	tvnews	Rosie O'Donnell: Barbara Walters Isn't 'Up to Speaking to People' Right Now	Rosie O'Donnell: Barbara Walters Isn't 'Up to Speaking to People' Right Now	https://assets.msn.com/labs/mind/AAIZa64.html	"[{""Label"": ""Rosie O'Donnell"", ""Type"": ""P"", ""WikidataId"": ""Q272929"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [0], ""SurfaceForms"": [""Rosie O'""]}]"	"[{""Label"": ""Rosie O'Donnell"", ""Type"": ""P"", ""WikidataId"": ""Q272929"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [0], ""SurfaceForms"": [""Rosie O'""]}]"
