DOCUMENT_INDEX;TITLE;TARGET_ENTITY;DOCUMENT;TRUE_SENTIMENT
1;German bank LBBW wins EU bailout approval;Landesbank Baden Wuertemberg;"Germany's Landesbank Baden Wuertemberg won EU approval Tuesday for a state bailout after it promised to shrink its balance sheet by 40 percent and refocus on lending to companies.
 The bank was several state-owned German institutions to run into trouble last year after it ran up more huge losses from investing in high-risk proprietary trading and capital market activities -- a business the EU has now told it to shun.
 Seven current and former managers of the bank are also being investigated by German authorities for risking or damaging the bank's capital by carrying out or failing to block investments in high-risk deals worth hundreds of millions from 2006.
 The European Commission said its Tuesday approval for the state rescue of the bank and its new restructuring plan would allow it become a viable business again -- and that the cutbacks would help limit the unfair advantage over rivals that the bank would get from the state aid.
 Stuttgart-based LBBW earlier this year received a capital injection of (EURO)5 billion from the bank's shareholders  all of them public authorities or state-owned  including the state of Baden-Wuerttemberg  the region's savings bank association and the city of Stuttgart.";Negative
2;8th LD Writethru: 9th passenger released from tourist bus hijacked in Manila;Rolando Mendoza;"The Philippine National Police (PNP) identified the hostage taker as former Police Senior Inspector Rolando Mendoza. Mendoza was dismissed from service for extortion and forcing a chef to swallow  ""shabu.""
 Two police officers  Superintendent Orlando Yebra Jr. and Chief Inspector Romeo Salvador  have started negotiations with Mendoza.
 Mendoza is demanding authorities to clear his name and be reinstated to the service.
 MPD spokesman Police Chief Inspector Erwin Margarejo said in a press briefing that the use of force against the hostage taker will be a last resort. He added that Mendoza's demand for reinstatement will be studied and will undergo undue process.
 Philippine President Benigno Aquino III has appealed to Mendoza to ""honor and respect"" the lives of hostages. The government is hoping that tourists will view it as an ""isolated incident"" and that ""it does not reflect real situation of the country.""
 Mendoza was carrying an M-16 rifle when he abducted the bus  with plate number TUU 799  Monday morning. The abduction was held near Rizal Park  a major tourist site in Manila.";Neutral
3;Commission: Bar Liberian president from office;Charles Taylor;"Sirleaf  70  acknowledged before the commission in February that she gave up to $10 000 to a rebel group headed by Charles Taylor. Sirleaf said the money she sent while an expatriate was meant for humanitarian services and that she was never a member of the group  the National Patriotic Front.
 Information Minister Laurence Bropleh said Monday evening if the public had had any dissatisfaction with Sirleaf's involvement with Taylor at the time  they would have voted against her in 2005.
 In 2005 the Liberian people knew that President Sirleaf had contributed $10 000 to Taylor's movement  Bropleh said.
 An AP correspondent and others who covered the Liberian war can recall no humanitarian works by Taylor and his fighters  especially in the first months of the war when tens of thousands of refugees were fleeing across the borders to Ivory Coast and Guinea  where they were helped by international and government agencies.
 Then  most atrocities were committed by Doe's forces and Taylor was welcomed as a liberator fighting a barbaric dictatorship.
 ""In defense of Ellen Johnson Sirleaf  she never hid the fact that she was curious about Taylor and what he was all about "" said Huband  who drove with Johnson Sirleaf on her first trip to meet Taylor in May 1990. ""A lot of people supported the idea of Doe being ousted and there had been so many attempts  and they all were foiled  at least one with the help of the American government  which continued to support Doe despite his brutality.""
 ""I never had the impression that Sirleaf supported Taylor  certainly not after it became clear his troops were out of control "" Huband said. ""Certainly there was no way she could predict the kind of atrocities that would be committed (by Taylor's fighters) ...""";Negative
4;AP Exclusive: Network flaw causes scary Web error;Sawyers;"Sawyer logged off and asked her sister  Mari  31  her partner in a dessert catering company  and their mother  Fran  57  to see whether they had the same problem on their phones.
 Generally Web sites and computers are compromised from within. A hacker can get a Web page or computers to run programming code that they shouldn't. But in this case  it was a security gap between the phone and the Web site that exposed strangers' Facebook pages to the Sawyers. Misconfigured equipment  poorly written network software or other technical errors could have caused AT
T to fumble the information flowing from the Sawyers' phones to Facebook and back.
T could confirm only that the problem occurred on one of the Sawyers' phones  possibly because they had logged off Facebook on the other two before reporting the incident.
 It's unclear how many people were affected by the problem the Sawyers discovered  and whether it was limited to Facebook.
 Usually that means a Web site simply won't load  said Alberto Solino  director of security consulting services for Core Security Technologies. In the Sawyers' case  ""somehow they got the wrong user but they could keep using that account for a long period of time. That's what's strange "" he said.
 The AP tried to contact two of the people whose Facebook pages were exposed to the Sawyers  but the calls and e-mails were not returned. It's unclear whether they are also AT";Neutral
5;Holyfield ' s wife says boxer hit her several times;Candi Holyfield;"Candi Holyfield said in the protective order that the abuse against her began about six months after they were married July 1  2003  and started again when she was pregnant with their first child. She said at first it was ""mainly emotional"" abuse but physical incidents have escalated since 2008.
 She claimed her husband choked her in front of their daughter and housekeeper in 2008  and that last year he hit and grabbed her in front of their children. A few weeks ago  she said  he threw a bottle of water at her.
 In a statement released by the publicist  Candi Holyfield said there were ""misunderstandings in the representation of what happened in the situation between me and my husband"" but did not elaborate.
 ""Out of respect for our family  I ask that the media please respect our privacy "" she said in the statement. ""This is a private matter and your consideration of this would be much appreciated.""
 One of Holyfield's most memorable fights came against Mike Tyson in 1997  when Tyson was disqualified after biting off part of Holyfield's right ear.";Neutral
6;Hillary Clinton : Misogyny is ` endemic ' . ;Hillary Clinton;"-LRB- CNN -RRB- Hillary Clinton slammed what she called ""endemic"" sexism and misogyny in America during an interview with Fareed Zakaria , which aired Sunday . 
Clinton , who was interviewed by Zakaria on his show , ""GPS ,"" said sexism was so inherent that she purposely had n't highlighted her career history of fighting for women 's rights when she ran for president in 2016 .";Neutral
7;Trouser-wearing women fined $200 in Sudan;Lubna Hussein;"Lubna Hussein was among 13 women arrested July 3 in a raid by the public order police in Khartoum. Ten of the women were fined and flogged two days later. But Hussein and two others decided to go to trial.
 Hussein said Friday she would rather go to jail than pay any fine  out of protest of the nation's strict laws on women's dress.
 The case has made headlines in Sudan and around the world and Hussein used it to rally world opinion against the country's morality laws based on a strict interpretation of Islam.
 Galal al-Sayed  Hussein's lawyer  said he advised her to pay the fine before appealing the decision. She refused  he said  ""She insisted.""
 As a U.N. staffer  Hussein should have immunity from prosecution but she has opted to resign so that she could stand trial and draw attention to the case.
 In a column published in the British daily the Guardian Friday  Hussein said her case is not an isolated one  but is a showcase of repressive laws in a country with a long history of civil conflicts.
 Hussein said earlier she would take the issue all the way to Sudan's Constitutional Court necessary  but that if the court rules against her and orders the flogging  she's ready ""to receive (even) 40 000 lashes"" if that what it takes to abolish the law.";Neutral
8;Hillary Clinton Compares Donald Trump With Harvey Weinstein . ;Hillary Clinton;"""A lot of people thought I was probably exaggerating it , but now we are worried and Congress is worried about whether they can take that power away from Trump so that in a moment of pique he does n't pick up that phone and call whoever is sitting in the control center today ,"" Clinton told the audience at Sunday 's London Literature Festival .";Neutral
9;"Feature: ""Chinese is an important part of my life "" says Russian sinologist";Maria Rukodelnikova;"Rukodelnikova is fond of a lot things from China - green tea  calligraphy  Peking Opera  traditional Chinese painting  but what she loves most is the Chinese language.
 When Rukodelnikova entered the Languages Department of Moscow University in 1986  no Chinese lessons were offered. But after a teacher from China started to offer Chinese courses there  she jumped at the chance  starting her Chinese language study of seven years.
 After that Rukodelnikova worked in the Russian Academy of Sciences  before becoming a Chinese teacher at the Russian State University for the Humanities. She is now head of the Oriental Languages Teaching and Research Division of the Language Institute of the university  and a well-known   sinologist in Russia.
 Rukodelnikova noticed a growing number of Russians taking Chinese lessons and more people going China to learn the Chinese language. She said she hopes more Chinese experts could come to Russia to give lectures or seminars.
 For Rukodelnikova  languages play an extremely important role in promoting mutual understanding as well as economic  trade and cultural exchanges between different countries.";Positive
10;Former Australian Opposition leader attacks new climate change policy;Tony Abbott;"Former Australian Opposition leader Malcolm Turnbull launched attack against Tony Abbott's approach to climate change on Monday  saying the new Liberal policy is a farce and some claims amount to ""bullshit.""
 A recent Newspoll  published in The Australian newspaper on Monday  showed that Abbott had greater appeal than his predecessor Turnbull. In the better Prime Minister stakes  Abbott debuted at 23 percent  up from the last 14 percent rating for Turnbull. In comparison Australian Prime Minister Kevin Rudd had his percentage cut five points to 60 percent.
 As Abbott had never been afraid of speaking his mind  Turnbull said  ""I am sure he won't complain if I tell a few home truths about the farce that the coalition's policy  or lack of policy  on climate change has descended into.""
 Abbott has ditched coalition support for an emissions trading scheme (ETS)  labeling it a big tax.
 He has pledged to meet the targets to cut emissions through other means  suggesting he'll do it cheaper than the Labor ETS.";Neutral
11;Ted Cruz , asked if he 's interacting with Texans , says he 's done 17 ` town halls ' in 2017 .;Ted Cruz;"But could it be that U.S. Sen. Ted Cruz of Texas does n't get personally grilled by constituents very often ? 
The listed events Cruz attended from April through August 2017 demonstrate that the term ` town hall ' can be stretched every which way , even to events not open to the public . 
All told , it looks to us like Cruz took questions at gatherings of selected constituents , mostly business employees -- with the three veterans events open to members of the public who registered . 
Regardless , the Houston lawyer was told during the 2017 Texas Tribune Festival about a Democratic challenger 's suggestion that Cruz had n't visited small Texas towns during the term he won in 2012 . 
""Do you do enough interaction with your constituents , Sen. Cruz ?"" 
Cruz , asked if he interacts enough with constituents , said : ""In 2017 , I 've done 17 town halls"" in Texas . 
Cruz replied : ""That is a huge part of the job . 
A town hall , Cruz spokesman Phil Novack later noted by email , is defined by Merriam-Webster as ""an event at which a public official or political candidate addresses an audience by answering questions posed by individual members ."" 
Cruz , a Republican poised to seek re-election in 2018 , hardly has a reputation of avoiding attention . 
Novack otherwise told us Cruz had held 19 town halls with Texas constituents in 2017 , all ""organized by third parties who determined attendees , where"" the senator ""has taken unvetted questions from anyone in the crowd -- at businesses , factories , chambers of commerce , and in public venues ."" 
The businesses , including Division Laundry & Cleaners in San Antonio , Sysco Central Texas in New Braunfels and Igloo Products Corp. in Katy , had employee town halls with Cruz , the chart says . 
The veterans group , per the chart , hosted Cruz at July events in McKinney , Austin and Houston . 
By email to our inquiry , a CVA spokesman , Jim Fellinger , told us each CVA event with Cruz was open to the public by registration , without the group screening out anybody who registered . 
Fellinger pointed us to video posts of the CVA events showing that Cruz each time took questions via a moderator , who recognized a few individuals to speak directly to Cruz . 
Cruz 's office lists 19 events . 
Next , we confirmed from press releases , news stories and video snippets that Cruz made the appearances described in the Novack-provided chart . 
Events in bold on the chart below were open to reporters , Phil Novack , a spokesman for Sen. Ted Cruz , said . 
SOURCE : Chart provided by email from Phil Novack , press secretary to U.S. Sen. Ted Cruz , Sept. 28 , 2017 . 
We also asked Novack to share 2017 events Cruz had in Texas that were open to the public without registration -- where anyone could ask a question on any topic . 
Experts evaluate Cruz 's claim . 
Next , we shared our annotated version of the chart by email with academic experts and requested appraisals of Cruz 's statement that he 'd done 17 ""town halls ."" 
It seems these town halls are open only to the people from the sections of ` town ' that support Ted Cruz . 
In contrast , Trim , who directs a Pepperdine public engagement institute , said Cruz 's use of the ""town hall"" term struck her as ""valid within the common use of the term ` town hall ' in 21st century America ."" 
Mark Jones , a Rice University political scientist , said Cruz 's claim fits a ""minimalist"" definition of town hall in that they involved the senator speaking to , and fielding questions from , constituents from all walks of life across the state . 
But for a town hall ""maximalist ,"" Jones wrote , none of Cruz 's events would qualify as a town hall ""because they were held in largely controlled settings and were not open to the general public"" with the exception of the veterans gatherings open to people registering ahead of time . 
John Gastil , a Penn State University professor , said that while the ""town hall"" term has lost clarity of definition over the years , he thinks Cruz 's claim was made to affirm his availability to the public . 
Cruz 's claim ""strikes me as dubious ,"" Gastil summed up .";Negative
