ID,article_distance
N26378,0.03472891398334199
N10732,0.03472891398334199
N21087,0.03472891398334199
N41087,0.03472891398334199
N5445,0.03472891398334199
N60384,0.03472891398334199
N46616,0.03472891398334199
N52500,0.03472891398334199
N33164,0.03472891398334199
N24233,0.03472891398334199
N62058,0.03472891398334199
N25792,0.03472891398334199
N7563,0.03472891398334199
N18870,0.03472891398334199
N49475,0.03472891398334199
N31801,0.03710101262160237
N19347,0.03710101262160237
N10414,0.03710101262160237
N63302,0.03710101262160237
N18445,0.03710101262160237
N45794,0.03710101262160237
N34694,0.03710101262160237
N42782,0.03710101262160237
N55189,0.03710101262160237
N50014,1.0
N33677,1.0
N7821,1.0
N23877,1.0
N17059,1.0
N14592,1.0
N22407,1.0
N42977,1.0
N20495,1.0
N58114,1.0
N39317,1.0
N20678,1.0
N6890,1.0
N35389,1.0
N23814,1.0
N16844,1.0
N12330,1.0
N38393,1.0
N13131,1.0
N50592,1.0
N50872,1.0
N29739,1.0
N10960,1.0
N48875,1.0
N47346,1.0
N38779,1.0
N36226,1.0
N59495,1.0
N40109,1.0
N37348,1.0
N55555,1.0
N48722,1.0
N5364,1.0
N8015,1.0
N48017,1.0
N46821,1.0
N56711,1.0
N45509,1.0
N48225,1.0
N60550,1.0
N11817,1.0
N64174,1.0
N23446,1.0
N59685,1.0
N49712,1.0
N62330,1.0
N15695,1.0
N35729,1.0
N55689,1.0
N47098,1.0
N34333,1.0
N51570,1.0
