Category;Correlation;p-value
lifestyle;0.13219928836532283;3.1255891576016296e-148
health;0.31240117085799146;0.0
news;0.5053186064399058;0.0
sports;0.8071404458051137;0.0
weather;0.3042571573343274;0
entertainment;-0.22390184433743793;8.101412023221962e-201
autos;0.4587346936754089;0.0
travel;0.043816129513576066;1.9381556919853557e-15
foodanddrink;0.4817485333437423;0.0
tv;0.053860405537325386;3.1986707710588198e-21
finance;0.33201681802014493;0.0
movies;-0.030344277637304427;1.0263620752514371e-05
video;-0.08541392957362003;8.839350075947364e-39
music;-0.11858270343971633;1.212822131901736e-66
kids;-0.19057609023187802;2.189865795454602e-16
middleeast;nan;nan
northamerica;nan;nan
