SubCategory;Correlation;p-value
newsus;0.140379715846705;3.536753331824493e-22
football_nfl;0.7346700533248268;0.0
newspolitics;0.5395382589498806;8.070779160843168e-218
newscrime;0.2742887139749082;4.849157472229676e-53
weathertopstories;0.31030929998703694;6.180851433248325e-54
newsworld;0.07640349789651373;0.0001149599850966653
football_ncaa;0.5484067976787921;2.893936951083563e-136
baseball_mlb;0.6465256391980341;2.0327997426018846e-238
basketball_nba;0.5389292507052613;1.0706707249268407e-115
newsscienceandtechnology;0.01930603252572105;0.46648194340586024
