User,ID,Negative,Positive,Neutral
U13000,N42782 N18445 N49749,1,2,0
U14000,N9721 N61358 N11360 N64593 N9900 N46688,2,3,1
U15000,N42474 N41013 N45970 N4015 N56461 N11161 N31633,1,5,1
U13740,N55189 N42782 N34694 N45794 N18445 N63302 N10414 N19347 N31801,1,8,0
U91836,N31739 N6072 N63045 N23979 N35656 N43353 N8129 N1569 N17686 N13008 N21623 N6233 N14340 N48031 N62285 N44383 N23061 N16290 N6244 N45099 N58715 N59049 N7023 N50528 N42704 N46082 N8275 N15710 N59026 N8429 N30867 N56514 N19709 N31402 N31741 N54889 N9798 N62612 N2663 N16617 N6087 N13231 N63317 N61388 N59359 N51163 N30698 N34567 N54225 N32852 N55833 N64467 N3142 N13912 N29802 N44462 N29948 N4486 N5398 N14761 N47020 N65112 N31699 N37159 N61101 N14761 N3433 N10438 N61355 N21164 N22976 N2511 N48390 N58224 N48742 N35458 N24611 N37509 N21773 N41011 N19041 N25785,33,36,13
U73700,N10732 N25792 N7563 N21087 N41087 N5445 N60384 N46616 N52500 N33164 N47289 N24233 N62058 N26378 N49475 N18870,5,6,5
U34670,N45729 N2203 N871 N53880 N41375 N43142 N33013 N29757 N31825 N51891,3,3,4
U8125,N10078 N56514 N14904 N33740,1,0,3
U19739,N39074 N14343 N32607 N32320 N22007 N442 N19001 N24294 N51188 N22772 N51188 N12603 N8275 N19741 N6695 N35820 N30531 N15545 N27529 N62703 N59426 N15414 N54827 N21395 N39941 N10824 N42512 N58521 N62846 N14385 N47020 N2142 N17099 N47020 N11804 N52121,9,18,9
U8355,N8419 N15771 N1431 N5888 N18663 N24123 N22130 N20286 N32095 N46868 N55310 N31931 N34399 N42526 N64562 N12194 N23887 N56541 N59704 N30531 N60388 N8569 N38562 N47791 N157 N306 N30160 N41797 N47482 N2606 N20886 N47054 N64631 N3933 N40509,10,16,9
U46596,N47438 N20950 N21317 N5469,1,2,1
U79199,N37083 N459 N29499 N38118 N37378 N24691 N27235 N34694 N13137 N35022 N16617 N39762 N35452 N58580 N1258 N24492 N31801 N43142 N14761,11,5,3
U53231,N58936 N15919 N11917 N2153 N55312 N13008 N41420 N24889 N719 N47485 N35259 N34124 N37720 N29924 N39498 N64049 N45794 N16715 N26122 N45535 N20091 N391 N12576 N53436 N41244 N5887 N49179 N55897,8,15,5
